Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL,search_term,product_name,price
Chinese Vintage Beaded Obsidian Bracelet in Sterling Silver | Yun Boutique ,Jewelry > Bracelets > Beaded Bracelets,42.0,0,2,0,0,6,0,"['Jewelry', 'Bracelets', 'Beaded Bracelets', 'Chinese Bracelet', 'Gemstone Bracelet', 'Asian Bracelet', 'Obsidian Bracelet', 'Black Gemstone', 'Obsidian Jewelry', 'Crystal Bracelet', 'Gold Bracelet', 'Vintage Bracelet', 'Handmade Bracelet', 'Beaded Bracelet', 'Stone Bracelet', 'Black Bracelet']",United States,2021-09-20,False,False,False,YunBoutique,https://www.etsy.com/listing/1073878370/chinese-vintage-beaded-obsidian-bracelet,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,42.0
Men Women Healing Gemstone Bracelet 6mm Lapis Lazuli 3mm 925 Sterling Silver Beads & S-hook Clasp BR202 ,Jewelry > Bracelets > Beaded Bracelets,44.95,0,2,0,0,19,0,"['Jewelry', 'Bracelets', 'Beaded Bracelets', 'Bracelet', 'Handmade', 'Tibetan', 'Stone', 'Custom design', 'Chinese style', 'Men', 'Women', 'Gemstone', 'Lapis Lazuli', 'S925 Sterling Silver']",China,,False,False,False,DiyNotion,https://www.etsy.com/listing/206841928/men-women-healing-gemstone-bracelet-6mm,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,44.95
"Multi Coloured Jade and Gemstones Sterling Silver Bracelet Citrine, Garnet, Amethyst, Peridot Chinese Theme ",Jewelry > Bracelets > Chain & Link Bracelets,159.91,0,1,0,0,16,0,"['Jewelry', 'Bracelets', 'Chain & Link Bracelets', 'Jade Bracelet', 'Gemstone Bracelet', 'Chinese style', 'Multi Coloured Jade', 'Aert Deco bracelet']",British,,False,False,False,PoshGemz,https://www.etsy.com/listing/1055988149/multi-coloured-jade-and-gemstones,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,159.91
"Amazonite Gemstone beaded Bracelet,Natural amazonite Bracelet•amazonite jewelry Bracelet•Healing Crystals and Stones•Yoga Beads•Mala-1008 ",Jewelry > Bracelets > Beaded Bracelets,20.0,0,1,0,0,2,0,"['Jewelry', 'Bracelets', 'Beaded Bracelets', 'gemstone jewelry', 'Amazonite gemstone', 'amazonite beads', 'Amazonite Bracelet', 'natural Chinese bead', 'Chinese amazonite', 'beaded bracelets', 'yoga jewelry', 'healing Bracelet', 'yoga bracelet', 'Mala Bracelet', 'crystal bracelet', 'gemstone bracelet']",United States,2019-07-31,False,False,False,AshleyJaneMilan,https://www.etsy.com/listing/725359625/amazonite-gemstone-beaded,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,20.0
Chinese Beaded Lapis Lazuli Bracelet with Sterling Silver Auspicious Clouds | Yun Boutique ,Jewelry > Bracelets > Beaded Bracelets,42.0,0,3,0,0,15,0,"['Jewelry', 'Bracelets', 'Beaded Bracelets', 'beaded bracelet', '925 sterling silver', 'lapis bracelet', 'Chinese Bracelet', 'Chinese Jewelry', 'Silver Bracelet', 'Asian Bracelet', 'Lapis Lazuli', 'Handmade Bracelet', 'Gemstone Bracelet', 'Stone Bracelet', 'Blue Bracelet', 'Vintage Bracelet']",United States,2021-08-10,False,False,False,YunBoutique,https://www.etsy.com/listing/649126854/chinese-beaded-lapis-lazuli-bracelet,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,42.0
"Chinese Blue Green Turquoise Freeform with Black Spider Veins - Cabochon Gemstone for Jewelry Designers - Ring, Pendant, or Bracelet ",Craft Supplies & Tools,12.25,0,1,0,0,9,0,"['Craft Supplies & Tools', 'Beads', ' Gems & Cabochons', 'Cabochons', 'Chinese turquoise', 'stones for rings', 'semiprecious stones', 'handmade hand made', 'turquoise cabochon', 'cabochon stone', 'stones for jewelry', 'stones for pendants', 'stones for bracelets', 'stones for necklace', 'gemstone', 'cabochon', 'Turquoise']",United States,,False,False,False,DietzJewels,https://www.etsy.com/listing/778665684/chinese-blue-green-turquoise-freeform,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,12.25
"Gemstone Bracelets, Carnelian, Dalmatian Stone, Lava Stone, Impression Jasper, Chinese Jade, Burma Jadeite, Healing Crystal Bracelets ",Jewelry > Bracelets > Beaded Bracelets,6.0,0,2,0,0,2,0,"['Labradorite', 'Carnelian', 'Lava Stone', 'Impression Jasper', 'Chinese Jade', 'Burma Jadeite', 'Dalmatian Stone', 'Gemstone Bracelets', 'Gem Bracelet', 'Carnelian Bracelet', 'Carnelian Jewelry', 'Lava Stone Bracelet', 'Jade Bracelet', 'Gifts for Girlfriend', 'Gifts for Mom', 'Gifts for Sister', 'Gifts for Wife', 'Anniversary Gifts', 'Birthday Gifts', 'Christmas Gifts', 'Gifts for Her', 'Housewarming Gifts', 'Personalized Gifts', 'Gifts']",United States,2021-09-21,False,False,False,bodhiaccessories,https://www.etsy.com/listing/1088170349/gemstone-bracelets-carnelian-dalmatian,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,6.0
Diffuser Bracelet// Chinese Jasper Crystal Gemstone// Healing Crystal//Aromatherapy Oil Diffuser// Unisex Bracelet ,Jewelry > Bracelets > Beaded Bracelets,10.36,0,4,0,0,3,0,"['Chinese Jasper', 'Aromatherapy', 'Gemstone Bracelet', 'Diffuser Bracelet', 'Lava Oil Diffuser', 'Lava Diffuser', 'Stretch Bracelets', 'Green Gemstone', 'Jasper Bracelet', 'Healing Crystal', 'Stretch Bracelet', 'Earthly Bracelet', 'Gifts for Girlfriend', 'Gifts for Mom', 'Gifts for Sister', 'Gifts for Wife', 'Anniversary Gifts', 'Birthday Gifts', 'Christmas Gifts', 'Gifts for Her', 'Housewarming Gifts', 'Personalized Gifts', 'Gifts']",United States,2020-01-07,False,False,False,Fernhomeandfashion,https://www.etsy.com/listing/1037192832/diffuser-bracelet-chinese-jasper-crystal,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,10.36
"Chinese JADE Crystal Bracelet - Round Beads - Beaded Bracelet, Handmade Jewelry, Healing Crystal Bracelet, E2053 ",Jewelry > Bracelets > Beaded Bracelets,8.4,3,23,9,0,72,1,"['Green Jade', 'Green Jade Bracelet', 'Jade Bracelet', 'Jade Beads', 'Jade Jewelry', 'Bracelets for Women', 'Crystal Bracelet', 'Bead Bracelet', 'Gemstone Bracelet', 'Stretchy Bracelet', 'Crystal Jewelry', 'Boho Jewelry', 'Jade Bracelet Dainty', 'Gifts for Girlfriend', 'Gifts for Mom', 'Gifts for Sister', 'Gifts for Wife', 'Anniversary Gifts', 'Birthday Gifts', 'Christmas Gifts', 'Gifts for Her', 'Housewarming Gifts', 'Personalized Gifts', 'Gifts']",United States,2022-10-21,False,False,False,ThrowinStones,https://www.etsy.com/listing/1315511846/chinese-jade-crystal-bracelet-round,Upgrade Pro to Unlock,jade beaded chinese jewelry,bead bracelets and necklaces,8.4
"8mm Honey Jade Gemstone Bracelet, Natural Howlite Gold Hematite Stretch Bracelet, Jade Charm Bracelet, Jade Gold Bracelet, Jade and Gold 8mm ",Jewelry > Bracelets > Beaded Bracelets,17.35,0,1,0,0,10,0,"['Jewelry', 'Bracelets', 'Beaded Bracelets', 'chinese jade bead', 'jade bracelet bangle', 'jade gold bracelet', 'honey jade bracelet', 'jade bead bracelet', 'dainty jade bracelet', 'jade charm bracelet', 'gold hematite bead', 'stacked bracelet', 'howlite jade', 'minimalist bracelet', 'howlite bracelet', 'beaded bracelet']",Canada,,False,False,False,PetiteLinks,https://www.etsy.com/listing/1097197811/8mm-honey-jade-gemstone-bracelet-natural,Upgrade Pro to Unlock,jade beaded chinese jewelry,bead bracelets and necklaces,17.35
